id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
4329;PFC010049;PFC010049;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC010049.jpg;;;; PFC010049 PASTILHA PARA FREIO 2078/2016 20782016 5K0698451 AUDI VOLKSWAGEN A3 QUATTRO SPORTBACK BEETLE GOLF IV JETTA  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 5K0698451 REGISTRO INMETRO 2078/2016
4330;PFC020019;PFC020019;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC020019.jpg;;;; PFC020019 PASTILHA PARA FREIO 2078/2016 20782016 A0084201320 MERCEDES-BENZ C-180 C-200  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL A0084201320 REGISTRO INMETRO 2078/2016
4331;PFC020020;PFC020020;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC020020.jpg;;;; PFC020020 PASTILHA PARA FREIO 2075/2016 20752016 A0084203620 MERCEDES-BENZ C-180 C-200  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL A0084203620 REGISTRO INMETRO 2075/2016
4332;PFC020021;PFC020021;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC020021.jpg;;;; PFC020021 PASTILHA PARA FREIO 2081/2016 20812016 68006732AA MERCEDES-BENZ SPRINTER 311 CDI CHASSI/ 311 CDI FURGAO 315 CDI 415 CDI 15 + 1 VAN/ 415 CDI 9 + 1 VAN/415 CDI CHASSI 515 CDI 17 + 1 CHASSI/ 515 CDI 20 + 1 CHASSI / 515 CDI CHASSI/ 515 CDI FURGAO VITO TOURER 119  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 68006732AA REGISTRO INMETRO 2081/2016
4333;PFC020022;PFC020022;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC020022.jpg;;;; PFC020022 PASTILHA PARA FREIO 2081/2016 20812016 44206920 MERCEDES-BENZ SPRINTER 311 / 415  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 44206920 REGISTRO INMETRO 2081/2016
4334;PFC020023;PFC020023;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC020023.jpg;;;; PFC020023 PASTILHA PARA FREIO 2082/2016 20822016 A0064201520 MERCEDES-BENZ ACTROS  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL A0064201520 REGISTRO INMETRO 2082/2016
4335;PFC020025;PFC020025;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC020025.jpg;;;; PFC020025 PASTILHA PARA FREIO 001 421 25 10 14212510 2082/2016 20822016 MERCEDES-BENZ ACCELO 1016 ACCELO 915C  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 001 421 25 10 REGISTRO INMETRO 2082/2016
4336;PFC030063;PFC030063;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC030063.jpg;;;; PFC030063 PASTILHA PARA FREIO 2075/2016 20752016 7090175 FIAT MOBI  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 7090175 REGISTRO INMETRO 2075/2016
4337;PFC030064;PFC030064;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC030064.jpg;;;; PFC030064 PASTILHA PARA FREIO 2077/2016 20772016 77368510 CITROEN FIAT PEUGEOT BOXER CARGO/FURGAO DUCATO CARGO CARGO CURTO/ MEDIO 4P CHASSI 2P EXECUTIVO 4P MAXICARGO MAXICARGO 4P MINIBUS / MINIBUS CONFORT 4P MINIBUS EXECUTIVO MULTI MULTI/MAXIMULTI 4P VIP BUS 4P JUMPER FURGAO  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 77368510 REGISTRO INMETRO 2077/2016
4338;PFC030065;PFC030065;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC030065.jpg;;;; PFC030065 PASTILHA PARA FREIO 2078/2016 20782016 77368511 CITROEN FIAT PEUGEOT BOXER CARGO/FURGAO DUCATO CARGO CARGO CURTO/ MEDIO 4P CHASSI 2P EXECUTIVO 4P MAXICARGO MAXICARGO 4P MINIBUS / MINIBUS CONFORT 4P MINIBUS EXECUTIVO MULTI MULTI/MAXIMULTI 4P VIP BUS 4P JUMPER FURGAO  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 77368511 REGISTRO INMETRO 2078/2016
4339;PFC040046;PFC040046;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC040046.jpg;;;; PFC040046 PASTILHA PARA FREIO 2078/2016 20782016 3118 39101926 CHEVROLET CRUZE LT LTZ EQUINOX LTTURBO PREMIER TURBO AWD  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 39101926 REGISTRO INMETRO 2078/2016 SYL 3118
4340;PFC040047;PFC040047;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC040047.jpg;;;; PFC040047 PASTILHA PARA FREIO 13478300 2075/2016 20752016 CHEVROLET CRUZE LT LTZ  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 13478300 REGISTRO INMETRO 2075/2016
4341;PFC040048;PFC040048;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC040048.jpg;;;; PFC040048 PASTILHA PARA FREIO 2078/2016 20782016 52034685 CHEVROLET TRAILBLAZER LTZ LTZ CTDI  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 52034685 REGISTRO INMETRO 2078/2016
